adep,ades,typecode,icao_operator,flight_duration_minutes,departure_hour,day_of_week
GMMN,LIME,A320,MAC,172.83333333333334,6,2
GMMN,LEMI,A320,ABY,65.0,6,4
GMMN,EBBR,E190,RAM,193.91666666666666,14,2
GMMN,EBBR,B738,RAM,166.16666666666666,14,4
GMMN,EBBR,B763,RAM,184.16666666666666,6,3
GMMN,LEMD,B738,RAM,212.66666666666666,15,2
GMMN,LFLY,A320,MAC,156.41666666666666,6,6
GMMN,LFPO,B738,RAM,146.25,15,1
GMME,LFPG,A320,AFR,144.08333333333334,13,1
GMMN,LTFM,B77W,THY,239.83333333333334,23,2
GMMN,LFPB,B752,BCS,156.91666666666666,17,3
GMMN,LFML,AT75,SWT,212.66666666666666,11,1
GMMN,LFPG,A321,AFR,181.25,10,2
GMMN,EBBR,E190,RAM,165.91666666666666,14,6
GMMN,LEMG,A320,MAC,50.416666666666664,14,2
GMMN,LFPG,B752,BCS,166.41666666666666,17,3
GMMN,LEMI,A320,MAC,68.5,5,4
GMMN,LFPB,B752,BCS,165.08333333333334,17,4
GMMN,LFPG,A319,AFR,154.33333333333334,17,6
GMMN,EVRA,A320,GJT,291.0,1,2
GMMN,LIMC,B738,RAM,164.08333333333334,15,0
GMMN,LFPG,A319,AFR,167.66666666666666,15,1
GMMN,LFPO,E190,RAM,172.66666666666666,15,4
GMMN,LTFM,A332,THY,255.16666666666666,15,4
GMMN,LIMC,B738,RAM,150.25,15,6
GMMN,EBBR,B763,RAM,193.33333333333334,13,6
GMMN,LEMD,B738,RAM,80.33333333333333,14,6
GMMN,LEMD,E190,RAM,71.91666666666667,14,6
GMMN,LFPB,B752,BCS,173.58333333333334,17,1
GMMN,LEMD,E190,RAM,79.25,14,6
GMMN,LFPO,B738,RAM,156.91666666666666,15,6
GMMN,LIRF,B38M,NOS,164.5,12,1
GMMN,LTFM,B77W,THY,249.91666666666666,15,6
GMME,LFPG,A319,AFR,170.58333333333334,13,5
GMMN,LEMG,A320,MAC,50.833333333333336,14,2
GMMN,LEBL,E190,RAM,107.0,14,5
GMME,LEAL,E35L,VLJ,72.08333333333333,15,6
GMMN,LEMG,A320,MAC,47.833333333333336,17,6
GMMN,EBBR,B763,RAM,170.0,13,6
GMMN,LEMI,A320,MAC,63.75,5,4
GMMN,EBBR,B738,RAM,182.75,14,2
GMMN,LEMG,E190,RAM,47.916666666666664,16,6
GMMN,LFPG,B752,BCS,171.66666666666666,17,3
GMMN,EBBR,B763,RAM,184.33333333333334,6,3
GMMN,LEBL,A320,MAC,110.75,18,4
GMMN,LFSB,A320,MAC,181.33333333333334,6,4
GMMN,LEBL,E190,RAM,106.83333333333333,14,0
GMMN,LFPO,B738,RAM,168.16666666666666,15,5
