adep,ades,typecode,icao_operator,first_seen,last_seen,flight_duration_minutes
GMMN,LIME,A320,MAC,2022-01-26 06:36:25,2022-01-26 09:29:15,172.83333333333334
GMMN,LEMI,A320,ABY,2022-01-14 06:15:35,2022-01-14 07:20:35,65.0
GMMN,EBBR,E190,RAM,2022-01-05 14:09:35,2022-01-05 17:23:30,193.91666666666666
GMMN,EBBR,B738,RAM,2022-01-14 14:39:05,2022-01-14 17:25:15,166.16666666666666
GMMN,EBBR,B763,RAM,2022-01-20 06:14:50,2022-01-20 09:19:00,184.16666666666666
GMMN,LEMD,B738,RAM,2022-01-05 15:05:35,2022-01-05 18:38:15,212.66666666666666
GMMN,LFLY,A320,MAC,2022-01-09 06:41:55,2022-01-09 09:18:20,156.41666666666666
GMMN,LFPO,B738,RAM,2022-01-04 15:34:40,2022-01-04 18:00:55,146.25
GMME,LFPG,A320,AFR,2022-01-04 13:31:00,2022-01-04 15:55:05,144.08333333333334
GMMN,LTFM,B77W,THY,2022-01-26 23:27:50,2022-01-27 03:27:40,239.83333333333334
GMMN,LFPB,B752,BCS,2022-01-13 17:40:35,2022-01-13 20:17:30,156.91666666666666
GMMN,LFML,AT75,SWT,2022-01-25 11:50:05,2022-01-25 15:22:45,212.66666666666666
GMMN,LFPG,A321,AFR,2022-01-05 10:16:05,2022-01-05 13:17:20,181.25
GMMN,EBBR,E190,RAM,2022-01-30 14:16:45,2022-01-30 17:02:40,165.91666666666666
GMMN,LEMG,A320,MAC,2022-01-26 14:17:05,2022-01-26 15:07:30,50.416666666666664
GMMN,LFPG,B752,BCS,2022-01-06 17:46:25,2022-01-06 20:32:50,166.41666666666666
GMMN,LEMI,A320,MAC,2022-01-21 05:49:45,2022-01-21 06:58:15,68.5
GMMN,LFPB,B752,BCS,2022-01-14 17:41:10,2022-01-14 20:26:15,165.08333333333334
GMMN,LFPG,A319,AFR,2022-01-02 17:23:35,2022-01-02 19:57:55,154.33333333333334
GMMN,EVRA,A320,GJT,2022-01-26 01:40:20,2022-01-26 06:31:20,291.0
GMMN,LIMC,B738,RAM,2022-01-10 15:08:40,2022-01-10 17:52:45,164.08333333333334
GMMN,LFPG,A319,AFR,2022-01-25 15:42:15,2022-01-25 18:29:55,167.66666666666666
GMMN,LFPO,E190,RAM,2022-01-28 15:25:55,2022-01-28 18:18:35,172.66666666666666
